1.11632 0.01462 -1.18567 0.43069 0.99645 0.3264 -0.17177 1.510640371093757 -7.428884648437499 3.0665168359374997 0.06261693359375009 -0.1880899902343749 -0.4179601171875 0.19098684570312474 -305.02961895556655 22.122359332381052 -46.924310389570905 -17.898779776306057  0.5805759429931641 0.5752002000808716 0.45944803953170776 0.49230843782424927 0.5391566157341003 0.5504816174507141 0.37332358956336975 0.3531908392906189 0.4143233299255371 0.6055690050125122 0.5333161354064941 0.4149070978164673 0.41661277413368225 0.3082180321216583 0.4246187210083008 0.3807414472103119 0.4204767048358917 0.5382710099220276 0.5265823006629944 0.4864126145839691
1.12264 0.05542 -1.13364 0.42253 0.85611 0.07722 -0.17181 0.8005951855468822 -8.52175732421875 3.1088434179687487 -0.3636065332031233 -0.16107499511718748 -0.29800505859375 0.23334842285156232 -325.12517611223166 20.754005432523893 -46.03566383113525 -20.76396280986015  0.4254421591758728 0.46702948212623596 0.45801255106925964 0.4946138858795166 0.54160076379776 0.4990832805633545 0.3703051805496216 0.45580431818962097 0.4964498281478882 0.6375375390052795 0.5326241850852966 0.3569910228252411 0.3611103296279907 0.34255531430244446 0.3737868368625641 0.3985133767127991 0.3942070007324219 0.5146942734718323 0.5243401527404785 0.47902169823646545
1.13216 0.02451 -1.13478 0.40371 0.86253 0.07956 -0.17182 0.16486259277344573 -7.782618662109375 2.921346708984374 -0.03771326660156227 -0.20554249755859377 -0.126747529296875 0.25904921142578097 -334.556399695397 19.290904617645307 -46.780314256464976 -24.99936838838113  0.4016905426979065 0.4428436756134033 0.47675299644470215 0.5225332379341125 0.5589411854743958 0.4901736378669739 0.4103716015815735 0.4897040128707886 0.5108726024627686 0.6261054873466492 0.547459065914154 0.34492701292037964 0.32761693000793457 0.36854398250579834 0.3907526731491089 0.3947855532169342 0.3813454210758209 0.5066325068473816 0.5267267823219299 0.47758567333221436
1.1325 0.02411 -1.13537 0.40384 0.86272 0.08376 -0.17182 0.0009362963867260987 -5.701969331054688 2.750948354492187 0.6428933666992194 -0.2422662487792968 0.047911235351562505 0.2617296057128904 -346.92293974108725 19.997268924998508 -51.91326711799525 -27.399463130123962  0.40154293179512024 0.4436691105365753 0.4781012535095215 0.5227693319320679 0.5586919188499451 0.4902071952819824 0.409054696559906 0.4903338551521301 0.5105025768280029 0.6241493821144104 0.5473307371139526 0.34493499994277954 0.329718679189682 0.3711742162704468 0.3876112401485443 0.3955298662185669 0.3826146125793457 0.506776750087738 0.5253615379333496 0.47832635045051575
1.13252 0.02408 -1.13541 0.40386 0.86272 0.08379 -0.17183 0.17251314819336017 -2.9686796655273437 2.5379991772460935 1.63426668334961 -0.23707812438964837 0.20808061767578126 0.22691480285644516 -364.03449877992443 24.197678586248728 -37.5262770502959 -24.039543660605368  0.40215373039245605 0.44381844997406006 0.4771830439567566 0.5221335887908936 0.557962954044342 0.4916163384914398 0.41037386655807495 0.49121445417404175 0.5113638639450073 0.6246092915534973 0.5481460690498352 0.34566351771354675 0.3287105858325958 0.36996933817863464 0.3896195888519287 0.3950245976448059 0.3824361264705658 0.5070594549179077 0.5255054831504822 0.47833430767059326
1.13424 0.02245 -1.14409 0.4038 0.8776 0.10452 -0.17182 0.6295515740966806 -0.4703648327636718 2.4485595886230476 2.5995833416748066 -0.19281406219482422 0.32660530883789063 0.17221240142822247 -365.0793239629361 29.86802679831142 -40.74733549275152 -24.933612111514563  0.406154990196228 0.44607850909233093 0.47081902623176575 0.49333858489990234 0.5731791853904724 0.5481765270233154 0.46894529461860657 0.460239052772522 0.5240926146507263 0.6630547642707825 0.4989170730113983 0.39368343353271484 0.31790652871131897 0.4210645854473114 0.38994479179382324 0.3547414541244507 0.416620135307312 0.5142958164215088 0.5100693106651306 0.47980788350105286
1.14152 0.01327 -1.21189 0.39317 1.00514 0.314 -0.17185 0.9214557870483446 0.887432583618164 2.352739794311524 3.1462816708374035 -0.2105420310974121 0.41419765441894535 0.16633120071411112 -352.16742536849597 25.837822778564707 -40.93523516883886 -18.493570294787382  0.38664132356643677 0.45009124279022217 0.4932328164577484 0.48735830187797546 0.5856233835220337 0.5550591349601746 0.5170956254005432 0.45609715580940247 0.5337159633636475 0.6509040594100952 0.46679309010505676 0.44872236251831055 0.3059738576412201 0.44074147939682007 0.4003165364265442 0.33958202600479126 0.46562159061431885 0.5043425559997559 0.49721184372901917 0.47608324885368347
1.11769 -0.1157 -1.26925 0.60868 1.01122 0.32623 -0.17184 0.9949678935241764 0.5795162918090822 2.3346398971557614 3.1901508354187023 -0.21759101554870597 0.4741788272094727 0.1656556003570555 -354.69231156322166 20.46214936178 -37.49494989351308 -19.319534750569275  0.5008255839347839 0.4286617934703827 0.6118729710578918 0.34666213393211365 0.536754310131073 0.3786401152610779 0.6279951333999634 0.35547733306884766 0.49163150787353516 0.6367805600166321 0.5175246596336365 0.39529919624328613 0.33215999603271484 0.6858667135238647 0.5338391661643982 0.3967326581478119 0.6377730965614319 0.5514193773269653 0.4587297737598419 0.5032089948654175
1.08535 -0.21394 -1.33208 0.86953 1.0023 0.34681 -0.17185 1.0045589467620886 -2.163691854095459 2.5768299485778803 2.4969754177093524 -0.19032050777435294 0.42323441360473635 0.1393228001785276 -346.7884648287386 21.892826957512998 -26.620707409486158 -18.071604537983884  0.49221888184547424 0.5013103485107422 0.41447415947914124 0.5144822001457214 0.6051604151725769 0.38374531269073486 0.6950627565383911 0.6001167893409729 0.48339447379112244 0.3898150324821472 0.636821985244751 0.4639028012752533 0.5082200169563293 0.5094729661941528 0.5590062737464905 0.34729528427124023 0.5264943242073059 0.5441327095031738 0.49497413635253906 0.49414676427841187
1.11109 -0.19881 -1.20591 0.56024 1.01774 0.34496 -0.17207 0.7014894733810451 -5.825785927047729 2.923614974288941 1.6060477088546765 -0.11327525388717641 0.3997872068023682 0.07191640008926381 -363.7701951044278 20.70890291388605 -9.877601298063269 -14.760863857286303  0.48151546716690063 0.4864879548549652 0.33101898431777954 0.4807661771774292 0.5660421848297119 0.4284883737564087 0.5450839996337891 0.5631365776062012 0.433336466550827 0.4045861065387726 0.6992937326431274 0.47437378764152527 0.6409046053886414 0.5507644414901733 0.5321424603462219 0.39456892013549805 0.63288813829422 0.5544402003288269 0.5833344459533691 0.49815183877944946
