1.11632 0.01462 -1.18567 0.43069 0.99645 0.3264 -0.17177 1.510640371093757 -7.428884648437499 3.0665168359374997 0.06261693359375009 -0.1880899902343749 -0.4179601171875 0.19098684570312474 -305.02961895556655 22.122359332381052 -46.924310389570905 -17.898779776306057  0.4277644157409668 0.6446947455406189 0.35807642340660095 0.5305227041244507 0.4884379804134369 0.5655836462974548 0.6018775105476379 0.4870229661464691 0.39943283796310425 0.6149216890335083 0.6235129833221436 0.5274469256401062 0.540120542049408 0.5879363417625427 0.6122210621833801 0.5506436228752136 0.5850933790206909 0.5164976716041565 0.3913857936859131 0.6000922322273254 0.5025132298469543 0.4080863296985626 0.5552820563316345 0.4731746017932892 0.48822206258773804 0.5886695981025696 0.4221327602863312 0.5144367814064026 0.5869547128677368 0.4454621374607086
1.12264 0.05542 -1.13364 0.42253 0.85611 0.07722 -0.17181 0.8005951855468822 -8.52175732421875 3.1088434179687487 -0.3636065332031233 -0.16107499511718748 -0.29800505859375 0.23334842285156232 -325.12517611223166 20.754005432523893 -46.03566383113525 -20.76396280986015  0.47725602984428406 0.5314841866493225 0.4183386266231537 0.47142064571380615 0.5503077507019043 0.4483281970024109 0.5836276412010193 0.581803023815155 0.3941163122653961 0.523768961429596 0.6094075441360474 0.4862124025821686 0.6133723855018616 0.5369109511375427 0.561842143535614 0.614952802658081 0.4912561774253845 0.5570071339607239 0.39292532205581665 0.5290656089782715 0.4260388910770416 0.5067160129547119 0.5222082734107971 0.47509047389030457 0.5483227968215942 0.6308042407035828 0.3664281666278839 0.5874108672142029 0.5345165133476257 0.3883780241012573
1.13216 0.02451 -1.13478 0.40371 0.86253 0.07956 -0.17182 0.16486259277344573 -7.782618662109375 2.921346708984374 -0.03771326660156227 -0.20554249755859377 -0.126747529296875 0.25904921142578097 -334.556399695397 19.290904617645307 -46.780314256464976 -24.99936838838113  0.5107901096343994 0.5233703255653381 0.45960351824760437 0.47362279891967773 0.5583834052085876 0.42986053228378296 0.5793493986129761 0.6211119890213013 0.4406624734401703 0.5384100675582886 0.6172751784324646 0.4778388440608978 0.5972242951393127 0.5185164213180542 0.5547292828559875 0.6059730052947998 0.4624452590942383 0.5731678009033203 0.4434443414211273 0.5214059352874756 0.40656256675720215 0.524115800857544 0.5124242901802063 0.48678725957870483 0.5672399997711182 0.6183496713638306 0.3826541304588318 0.618307888507843 0.4887832701206207 0.3459532558917999
1.1325 0.02411 -1.13537 0.40384 0.86272 0.08376 -0.17182 0.0009362963867260987 -5.701969331054688 2.750948354492187 0.6428933666992194 -0.2422662487792968 0.047911235351562505 0.2617296057128904 -346.92293974108725 19.997268924998508 -51.91326711799525 -27.399463130123962  0.5075131058692932 0.5205078721046448 0.45573854446411133 0.4754839539527893 0.5605880618095398 0.43043074011802673 0.5802674889564514 0.6131234765052795 0.43747058510780334 0.5408594608306885 0.6192654371261597 0.47983214259147644 0.5944835543632507 0.5154024362564087 0.5524889230728149 0.6118482351303101 0.46398138999938965 0.5751794576644897 0.44545599818229675 0.5233034491539001 0.40462726354599 0.5265442132949829 0.5092108845710754 0.4889375567436218 0.5678648948669434 0.6162189841270447 0.3888939917087555 0.6171128153800964 0.49032801389694214 0.34719565510749817
1.13252 0.02408 -1.13541 0.40386 0.86272 0.08379 -0.17183 0.17251314819336017 -2.9686796655273437 2.5379991772460935 1.63426668334961 -0.23707812438964837 0.20808061767578126 0.22691480285644516 -364.03449877992443 24.197678586248728 -37.5262770502959 -24.039543660605368  0.508202075958252 0.5226286053657532 0.458272784948349 0.47291889786720276 0.5583572387695312 0.4322928488254547 0.5805161595344543 0.6161187887191772 0.44134485721588135 0.539787232875824 0.6200298070907593 0.48005324602127075 0.593415379524231 0.5176047086715698 0.5504031181335449 0.6103345155715942 0.46311286091804504 0.5732775926589966 0.44581958651542664 0.5189546346664429 0.4051809310913086 0.5248767137527466 0.5128535032272339 0.48765963315963745 0.5690210461616516 0.6163443922996521 0.3891780376434326 0.6188163757324219 0.4906511604785919 0.3466239869594574
1.13424 0.02245 -1.14409 0.4038 0.8776 0.10452 -0.17182 0.6295515740966806 -0.4703648327636718 2.4485595886230476 2.5995833416748066 -0.19281406219482422 0.32660530883789063 0.17221240142822247 -365.0793239629361 29.86802679831142 -40.74733549275152 -24.933612111514563  0.4898841679096222 0.5359854698181152 0.4215821623802185 0.5001855492591858 0.522487461566925 0.4932059645652771 0.629372775554657 0.5488001704216003 0.48513153195381165 0.5566458106040955 0.5920257568359375 0.46778959035873413 0.6066789627075195 0.5648897290229797 0.6408606171607971 0.6071046590805054 0.5366056561470032 0.5490368008613586 0.4556947648525238 0.49259454011917114 0.46228769421577454 0.49278777837753296 0.5701477527618408 0.45538851618766785 0.5540586709976196 0.6063361167907715 0.4101572334766388 0.5960603952407837 0.5364484190940857 0.3372018337249756
1.14152 0.01327 -1.21189 0.39317 1.00514 0.314 -0.17185 0.9214557870483446 0.887432583618164 2.352739794311524 3.1462816708374035 -0.2105420310974121 0.41419765441894535 0.16633120071411112 -352.16742536849597 25.837822778564707 -40.93523516883886 -18.493570294787382  0.48754775524139404 0.5638059973716736 0.43520599603652954 0.5250214338302612 0.5161486268043518 0.5049600601196289 0.6072533130645752 0.5341705679893494 0.5035145282745361 0.6010578870773315 0.5777966380119324 0.4394540786743164 0.6003488898277283 0.6098537445068359 0.6557984352111816 0.5835323929786682 0.5392956733703613 0.5570840239524841 0.4727720320224762 0.5066104531288147 0.4570545256137848 0.4930991232395172 0.5672224760055542 0.4394741952419281 0.5346112251281738 0.569985568523407 0.4766358435153961 0.6151401400566101 0.5124329328536987 0.2974337637424469
1.11769 -0.1157 -1.26925 0.60868 1.01122 0.32623 -0.17184 0.9949678935241764 0.5795162918090822 2.3346398971557614 3.1901508354187023 -0.21759101554870597 0.4741788272094727 0.1656556003570555 -354.69231156322166 20.46214936178 -37.49494989351308 -19.319534750569275  0.2722688913345337 0.5921313166618347 0.46128445863723755 0.3689052164554596 0.5702299475669861 0.5408934354782104 0.46289560198783875 0.517536461353302 0.48604410886764526 0.5868098139762878 0.4155588150024414 0.5677025318145752 0.4692484438419342 0.527540922164917 0.33758604526519775 0.371437132358551 0.41402825713157654 0.6443371176719666 0.26154476404190063 0.4559955894947052 0.47793179750442505 0.3010235130786896 0.4808448553085327 0.5502570271492004 0.5047971606254578 0.5790706872940063 0.5646728873252869 0.3799076974391937 0.54668790102005 0.42019692063331604
1.08535 -0.21394 -1.33208 0.86953 1.0023 0.34681 -0.17185 1.0045589467620886 -2.163691854095459 2.5768299485778803 2.4969754177093524 -0.19032050777435294 0.42323441360473635 0.1393228001785276 -346.7884648287386 21.892826957512998 -26.620707409486158 -18.071604537983884  0.6390074491500854 0.6124445796012878 0.45750176906585693 0.4874284267425537 0.5686145424842834 0.5170719027519226 0.6204817295074463 0.6163334846496582 0.5503045916557312 0.6806737184524536 0.6542768478393555 0.4955977201461792 0.5107630491256714 0.5755276083946228 0.4931202232837677 0.5522493720054626 0.4938551187515259 0.5067879557609558 0.5450453758239746 0.5484647750854492 0.4370148181915283 0.6157568693161011 0.5234282612800598 0.5511744022369385 0.5661764144897461 0.5669139623641968 0.49792978167533875 0.4832322299480438 0.46095719933509827 0.4108615517616272
1.11109 -0.19881 -1.20591 0.56024 1.01774 0.34496 -0.17207 0.7014894733810451 -5.825785927047729 2.923614974288941 1.6060477088546765 -0.11327525388717641 0.3997872068023682 0.07191640008926381 -363.7701951044278 20.70890291388605 -9.877601298063269 -14.760863857286303  0.5942121148109436 0.5907303690910339 0.4058440327644348 0.4486299157142639 0.5528610944747925 0.5255956649780273 0.5544256567955017 0.5966883897781372 0.48761191964149475 0.6080032587051392 0.6682661771774292 0.5645106434822083 0.5497087836265564 0.6172313690185547 0.5007456541061401 0.5771484375 0.5008430480957031 0.5352011322975159 0.48266956210136414 0.5314656496047974 0.42395150661468506 0.6172991394996643 0.5310624241828918 0.5208357572555542 0.5740918517112732 0.634087860584259 0.4011092185974121 0.4786836802959442 0.5507516860961914 0.48930925130844116
